LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,MONTHLY_INCOME_IMPUTED,BUREAU_SCORE_IMPUTED,LAST_PAYMENT_DATE_IMPUTED,LAST_PMT_IS_FUTURE,FOIR,CREDIT_UTIL,SANCTION_RATIO,REPAYMENT_RATIO,DISPOSABLE_INCOME,TENURE_PROGRESS,MONTHS_LEFT,IS_DELINQUENT,HAD_PAST_DPD,BUREAU_BAND,FOIR_BAND,CURR_DPD_LABEL,MAX_DPD_LABEL,UTIL_LABEL,REPAYMENT_STAGE,TENURE_STAGE,PAYMENT_BEHAVIOUR,SANCTION_LABEL,INTEREST_RATE_BAND,DISPOSABLE_INCOME_BAND,RISK_TIER,LOAN_HEALTH_SCORE,ACCOUNT_HEALTH,PRIMARY_RISK
LN0000166,CUST000457,45,Female,Uttar Pradesh,Self Employed,95107.0,Personal Loan,267388,214738,12,16.54,19538.28,704.0,7,0,60,58627,Current,Active,0,0,2020-10-11,2021-04-08,False,False,False,False,0.2054,0.273,0.8031,0.727,75568.72,0.5833,5,0,1,Good,Comfortable,No Delinquency,Moderate Delinquency,Low,Mostly Repaid,Mid Tenure,Recovered From Past Delays,Mostly Approved,High,Very Comfortable,LOW,0,Excellent,Healthy Account
LN0000506,CUST000122,46,Male,Rajasthan,Self Employed,43213.0,Consumer Durable Loan,68802,47177,24,20.44,2411.26,696.0,1,0,150,36504,Current,Active,0,0,2024-10-26,2024-10-30,False,False,False,False,0.0558,0.7738,0.6857,0.2262,40801.74,0.0417,23,0,1,Moderate Risk,Comfortable,No Delinquency,Potential Default,High,Early Repayment Stage,New Loan,Recovered From Past Delays,Partially Approved,Very High,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000613,CUST000258,48,Male,Delhi,Salaried,42843.0,Personal Loan,304085,224354,12,18.61,20633.96,624.0,11,7,120,92889,1-30,Active,0,0,2021-02-04,2021-11-17,False,False,False,False,0.4816,0.414,0.7378,0.586,22209.04,0.9167,1,1,0,High Risk,Manageable,Slight Delay,Potential Default,Moderate,Partially Repaid,Near Completion,Currently Delayed,Partially Approved,High,Limited,MEDIUM,6,High Risk,Weak Credit Profile
LN0000585,CUST000061,36,Female,Tamil Nadu,Self Employed,44958.0,Personal Loan,550709,453100,12,14.37,40761.47,673.0,68,7,15,120899,1-30,Active,0,0,2024-10-26,2030-04-17,False,False,False,True,0.9067,0.2668,0.8228,0.7332,4196.529999999999,1.0,0,1,0,Moderate Risk,Financially Stressed,Slight Delay,Slight Delay,Low,Mostly Repaid,Completed,Currently Delayed,Mostly Approved,Average,Financially Tight,MEDIUM,3,Needs Monitoring,High EMI Burden
LN0000255,CUST000469,21,Female,Tamil Nadu,Salaried,41248.0,Personal Loan,275636,177112,24,10.14,8184.27,568.0,49,0,150,105282,Current,Active,0,0,2024-07-07,2028-06-16,False,False,False,True,0.1984,0.5944,0.6426,0.4056,33063.729999999996,1.0,0,0,1,High Risk,Comfortable,No Delinquency,Potential Default,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Partially Approved,Low,Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000751,CUST000445,49,Female,West Bengal,Business,3500.0,Vehicle Loan,100000,76960,60,17.75,1943.83,697.0,60,0,0,26351,Current,Active,0,0,2021-05-25,2026-03-25,True,False,False,False,0.5554,0.3424,0.7696,0.6576,1556.17,1.0,0,0,0,Moderate Risk,Stretched,No Delinquency,No Delinquency,Low,Partially Repaid,Completed,Always Paid On Time,Mostly Approved,High,Financially Tight,LOW,0,Excellent,Healthy Account
LN0000529,CUST000254,37,Female,West Bengal,Professional,45989.0,Vehicle Loan,808222,604376,60,13.3,13844.41,648.0,48,0,120,166978,Current,Active,0,0,2022-09-08,2026-08-18,False,False,False,True,0.301,0.2763,0.7478,0.7237,32144.59,0.8,12,0,1,High Risk,Manageable,No Delinquency,Potential Default,Low,Mostly Repaid,Near Completion,Recovered From Past Delays,Partially Approved,Average,Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000843,CUST000658,25,Female,Delhi,Not Specified,35197.0,MSME Loan,1079357,858544,60,15.06,20451.75,606.3956675284826,33,30,120,395356,1-30,Active,0,0,2022-09-21,2025-05-05,False,True,False,False,0.5811,0.4605,0.7954,0.5395,14745.25,0.55,27,1,0,High Risk,Stretched,Slight Delay,Potential Default,Moderate,Partially Repaid,Mid Tenure,Currently Delayed,Mostly Approved,Average,Limited,MEDIUM,6,High Risk,Weak Credit Profile
LN0000150,CUST000112,29,Female,Maharashtra,Salaried,53978.0,Consumer Durable Loan,110830,100173,24,13.32,4777.48,756.0,60,0,120,18861,Current,Active,0,0,2020-01-27,2024-12-16,False,False,False,False,0.0885,0.1883,0.9038,0.8117,49200.520000000004,1.0,0,0,1,Very Good,Comfortable,No Delinquency,Potential Default,Low,Mostly Repaid,Completed,Recovered From Past Delays,Mostly Approved,Average,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000645,CUST000303,45,Male,Karnataka,Self Employed,90674.0,Personal Loan,360560,298447,18,15.63,18707.16,775.0,25,30,120,230102,1-30,Active,0,0,2025-03-29,2027-02-03,False,False,False,True,0.2063,0.771,0.8277,0.229,71966.84,1.0,0,1,0,Very Good,Comfortable,Slight Delay,Potential Default,High,Early Repayment Stage,Completed,Currently Delayed,Mostly Approved,Average,Very Comfortable,MEDIUM,4,Needs Monitoring,Healthy Account
